行政區,路名,段、號及其他註明,經度,緯度,備註
萬華區,大理街,160巷24弄口,121.495222,25.032351,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段10號前,121.509593,25.047459,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段100號前,121.508617,25.044154,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段136號前,121.50839,25.04334,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段148號,121.508526,25.042975,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段152號前,121.508221,25.042747,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段152號前方公車候車亭,121.508308,25.042717,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段158號,121.507981,25.041958,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段164-1號,121.507813,25.04162,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段170號,121.507698,25.041014,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段174-314號前,121.507402,25.039946,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段174之23號,121.507531,25.040459,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段176之1號前,121.507224,25.039416,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段180號,121.506792,25.038097,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段196號,121.506978,25.038627,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段198號,121.507039,25.038253,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段200號快車道候車亭旁,121.506921,25.037898,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段66號前(門牌原26號),121.50405,25.046709,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段68號前,121.50917,25.046002,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段78號,121.509009,25.045412,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段80號前,121.509009,25.045412,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段88號,121.508858,25.044854,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段94號前,121.508771,25.044512,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,中華路,1段與開封街口,121.50925,25.046128,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,水源路,199號前49停車格,121.507259,25.022173,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,水源路,37號停車格旁靠騰雲路橋,121.50813,25.022654,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,水源路,67號停車格右側10公尺處,121.505331,25.0208,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,水源路,67號停車格旁,121.505172,25.020744,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,水源路,80號停車格,121.504628,25.020384,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,水源路,一號門右側,121.50652,25.021587,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,水源路,一號門左側,121.506147,25.021299,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,成都路,30號與32號間柱子前,121.506601,25.042552,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,成都路,59號,121.506024,25.042798,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,成都路,6號出口後面,121.507929,25.042558,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,成都路,83號,121.505096,25.043031,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,成都路,86號前,121.504735,25.043009,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,成都路,98號,121.503398,25.043316,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,成都路,捷運1號出口旁,121.507648,25.042135,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西園路,2段29號,121.497529,25.032152,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西園路,2段32號,121.497674,25.032424,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西園路,2段42號,121.497395,25.03238,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,117號,121.506584,25.044833,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,129號前,121.506542,25.04403,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,145號前,121.506249,25.044102,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,169號,121.506098,25.043121,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,173號,121.505992,25.042665,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,36-25號,121.506353,25.044897,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,36-49號前,121.506604,25.04522,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,36-69號前,121.506591,25.045642,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,36-7號,121.506118,25.044941,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,36號前,121.506606,25.046847,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,52號前,121.506552,25.044354,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西寧南路,62號前,121.506249,25.044102,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西藏路,213號(面對華江高中校門口旁),121.496111,25.028821,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,西藏路,424號近新路口變電箱旁,121.497408,25.029367,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,和平西路,3段258號,121.495455,25.035267,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,和平西路,3段211號（龍山國小托兒中心前）,121.496623,25.035396,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,和平西路,3段235號（龍山國小大門口旁）,121.496302,25.0355,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,和平西路,3段251號（UBIKE站旁）,121.495075,25.035445,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,昆明街,100號前,121.505022,25.044278,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,昆明街,58號對面,121.505762,25.046187,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,昆明街,77號,121.504876,25.043095,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,昆明街,98-4號對面,121.50518,25.044315,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,東園街,46號對面,121.496164,25.026624,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,東園街,17號旁(消防局旁),121.4956,25.02843,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,萬大路,486巷口,121.497408,25.019816,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,武昌街,2段(400號公園前),121.503376,25.04556,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,武昌街,2段104號,121.505165,25.045096,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,武昌街,2段106號,121.504893,25.045162,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,武昌街,2段114-2號,121.504786,25.045186,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,武昌街,2段114-4號,121.504838,25.045244,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,武昌街,2段118-3號,121.504221,25.045317,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,武昌街,2段118-5號,121.504389,25.045291,嚴禁投入家用垃圾，違者重罰新台幣6000元
萬華區,武昌街,2段118號,121.504408,25.045248,嚴禁投入家用垃圾，違者重罰新台幣6000元
